Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
4016,"❗️Роскомнадзор еженедельно блокирует популярные VPN сервисы. Под удар уже попали Windscribe, Proton, Proxy Master, Browsec и другие.

Чтобы понимать, что происходит, и видеть полноценную картину дня, мы рекомендуем подписаться на Telegram-канал международного телеканала [RTVI](https://t.me/+deUzzgTdIf9iNzEy). 

Только проверенные новости от профессиональных журналистов. В остальных каналах репосты, здесь — новости. 

Подпишись 👉[ @rtvimain](https://t.me/+deUzzgTdIf9iNzEy)","❗️Roskomnadzor weekly blocks popular VPN services. Windscribe, Proton, Proxy Master, Browsec, and others have already been affected.

To understand what's happening and see the full picture of the day, we recommend subscribing to the Telegram channel of the international TV channel [RTVI](https://t.me/+deUzzgTdIf9iNzEy).

Only verified news from professional journalists. Other channels repost; here, you get the news.

Subscribe 👉[@rtvimain](https://t.me/+deUzzgTdIf9iNzEy)",,,,,
4017,"**Тёма Лебедев** похвастался тем, что украл с завода **«Азовсталь»** табличку с надписью **«Помещение фекального резервуара»** и повесил её у себя в студии.","Temka Lebedev boasted that he stole a sign from Azovstal factory with the inscription ""Bathroom"" and hung it in his studio.",,,,,
4018,🇷🇺🇺🇦 Уничтоженные российской артиллерией транспортные средства ВСУ.,Russian artillery-destroyed Ukrainian military vehicles.,,,,,
4019,"В Украине чувак решил, что он светофор","In Ukraine, a guy decided he was a traffic light.",,,,,
4020,"**В Казахстане зверски избили русских парней.

**Кровавая драка произошла на улице Бокейханова. На кадрах видно, как автомобиль подрезает Daewoo Matiz. Сначала начинается перепалка, которая перерастает в откровенную бойню. В итоге двое юношей попали в больницу. У них тяжелые травмы.

""Сотрясение мозга, внутричерепная травма, сильные ушибы, отбито плечо у моего сына, разбиты зубы. Я все понимаю, на дорогах всякое бывает. Водители подрезают, сталкиваются и матерят друг друга. Но чтобы бить вот так жестоко.
Если бы это случилось ночью, не было бы свидетелей, их просто бы закатали там в асфальт, и все"", - заявила мать потерпевшего.

В полиции сообщили, что личности нападавших установлены. Ведется расследование по статье ""Хулиганство"". По ней виновным может грозить два года тюрьмы.","In Kazakhstan, Russians were brutally beaten.

A bloody fight broke out on Bokейhanova Street. On the footage, it is visible how a car cuts off a Daewoo Matiz. Initially, there was a verbal altercation that escalated into an open brawl. In the end, two young men ended up in the hospital with serious injuries.

""The concussion, intracranial trauma, severe bruises, my son's shoulder was dislocated, his teeth were broken. I understand, anything can happen on the roads. Drivers cut each other off, collide, and curse at each other. But to beat them so viciously.
If this had happened at night with no witnesses, they would have been rolled over by a car and that would have been that,"" said the mother of one of the victims.

The police reported that the identities of the attackers have been established. An investigation is underway under the charge of hooliganism. Those found guilty could face up to two years in prison.",,,,,
4021,"Произошла классика.

Некий лысик из Самары оскорблял в личных сообщениях мать, просто потому что Я В ДРУГОМ ГОРОДЕ, ЧО ТЫ МНЕ СДЕЛАЕШЬ? 

Итог простой: парня нашли и заставили извиниться","Here's the translation:

""A classic case occurred.

A bald guy from Samara insulted my mother in personal messages just because I was IN ANOTHER CITY, WHAT WILL YOU DO TO ME?

The outcome was simple: they found the guy and made him apologize.""",,,,,
4022,В московском метро был замечен Zумер😎,A Zumer was spotted in the Moscow metro 😎,,,,,
4023,"Очередные поставки ""неалкогольных"" напитков в подразделения ВСУ.","The latest shipments of ""non-alcoholic"" beverages to Ukrainian military units.",,,,,
4024,"❗️🇫🇷**Жёсткие протесты начались и во Франции

**Люди недовольны политикой властей, которая привела к росту цен на продукты и топливо.

Не обошлось и без столкновений — полиция жестко избивала демонстрантов дубинками.","❗️🇫🇷**Hard protests have begun in France

People are unhappy with the government's policies, which have led to rising prices on food and fuel.

There were even clashes—police severely beat protesters with batons.**",,,,,
4025,"В Магадане 33-летний водила насмерть снёс женщину на пешеходном переходе.

__«Я ехал, торопился. По правому ряду шел ряд машин. Навстречу тоже ехали машины. Я не обратил внимания, что машина перед пешеходным переходом остановилась, потому что навстречу машины ехали, тоже не останавливались»__, — рассказал водитель, сбивший женщину. По его словам, он ехал со скоростью 70 км/ч","In Magadan, a 33-year-old driver killed a woman at a pedestrian crossing.

""I was driving, in a hurry. The right lane had several cars. Oncoming cars also weren't stopping. I didn't notice the car in front of the pedestrian crossing had stopped because the oncoming cars weren't stopping either,"" said the driver who hit the woman. According to him, he was driving at 70 km/h.",,,,,
4026,"**Доброе утро, ваша остановочка.** Украинский лайфхак, как спрятаться от комендантского часа и повесток","**Good morning, your layover.** A Ukrainian life hack for hiding from curfews and summonses.",,,,,
4027,"На этих кадрах — всё, что осталось от украинского самолёта Ан-12, который разбился сегодня ночью на севере Греции. На борту находилось восемь человек. 

На месте работают сапёры. Лайнер перевозил 12 тонн боеприпасов, сообщает CNN.

UPD: Самолёт перевозил оборонную продукцию из Сербии в Бангладеш, сообщает сербское Минобороны.

UPD 2: Экипаж упавшего на севере Греции самолета Ан-12 состоял из 8 граждан Украины, сообщил украинский МИД.","Here is the English translation:

These frames show all that remains of the Ukrainian An-12 aircraft that crashed in northern Greece tonight. There were eight people on board.

Sappers are working at the site. The airliner was carrying 12 tons of ammunition, reports CNN.

UPDATE: The aircraft was transporting defense products from Serbia to Bangladesh, reports the Serbian Ministry of Defense.

UPDATE 2: The crew of the crashed An-12 aircraft in northern Greece consisted of 8 citizens of Ukraine, reported the Ukrainian MFA.",,,,,
4028,"Позачера в соцсетях появилось видео, на котором некий алкаш из Одессы просит сотрудников полиции «выебать его в жопу» прямо во время задержания.

Вышла новая серия с заднеприводным алкоголиком. Теперь он мечтает о «золотом дожде»","Yesterday, a video appeared on social media showing an alcoholic from Odessa asking police officers to ""fuck him in the ass"" during his arrest.

A new episode with the four-wheel drunk has emerged. Now he dreams of a ""rain of gold.""",,,,,
4029,"🇷🇺🇺🇦 Донбасс. Утро не доброе у теробороны, которые подверглись мощному обстрелу.","RU-UA Donbass. The morning is not good for the troops, who suffered a powerful artillery attack.",,,,,
4030,Утро у украинца началось с игры в прятки с российской артиллерией🔥,The Ukrainian morning began with a game of hide and seek with Russian artillery 🔥,,,,,
4031,"**В Хабаровске пьяный вахтовик из Бурятии порезал парня. 

**Мужичок перебрал в аэропорту и решил стрельнуть сигарету.
На отказ от случайного парня бросился на него с перочинным ножом. 
Рана неглубокая, но на уголовку тянет","In Khabarovskykrai, a drunk miner from Buryatia slashed a young man in Khabarovsk.

The guy had drunk too much at the airport and tried to light a cigarette. When his offer was refused by a random passerby, he attacked him with a pocket knife. The wound is not deep, but it's serious enough to warrant criminal charges.",,,,,
4032,Денацификация в деле,Denazification in practice,,,,,
4033,"В Одессе все как обычно, приматывают людей к деревьям🇺🇦","In Odessa, everything is as usual, people are being nailed to trees 🇨🇺

Note: The emoji 🇨🇺 represents Ukraine, which seems out of context with the sentence. If this was meant to be part of a larger message or meme, please provide additional context for more accurate interpretation.",,,,,
4034,"Тем временем в **Европе** стоит «страшная» жара, из-за чего разных странах горят леса в огромных масштабах.","Meanwhile, in **Europe**, there is a ""frightening"" heat wave, causing forests to burn on a massive scale in many countries.",,,,,
4035,"**Избиение за нарушение комендантского часа в Одессе

**Бедолаги вышли подышать ночью за что отхватили от местных тероборонцев","**Beating for Curfew Violation in Odessa

**Poor souls were beaten by local security forces for going outside at night.",,,,,
4036,В Одессе🇺🇦 во время тревоги всё стабильно,"In Odessa🇺🇦 during the alert, everything is stable.",,,,,
4037,Местный житель рассказывает в каком состоянии привозят укровоинов в больницу.,A local resident describes the condition in which Ukrainian soldiers are brought to the hospital.,,,,,
4038,"🇷🇺**Своих не бросаем**💪🏼

Санинструктор группировки ""О"" обработал осколочное ранение пожилого мужчины, пострадавшего от артобстрела укронацистов по одному из освобожденных сел ЛНР. Во время оказания медпомощи украинские боевики продолжили обстрел кассетными боеприпасами","🇺🇸**We don't abandon our own**💪🏼

The sanitarian from Group ""O"" treated an elderly man's shrapnel wound, inflicted by the artillery strike of Ukrainian nationalists on one of the liberated villages in LNR. During the medical assistance, Ukrainian fighters continued to attack with cluster munitions.",,,,,
4039,Дым полевой кухни спалил   расположение солдат ВСУ.,The smoke from the field kitchen gave away the position of the Ukrainian soldiers.,,,,,
4040,Правильное воспитание мотохрустов,Proper upbringing of motochrusts,,,,,
4041,"🤡🇺🇦**НАТОвское обучение видно сразу!

**Пьяный укробоец отрабатывает приёмы иностранных инструкторов.

Готов на передовую?","Clown 🇺🇦 NATO-style training is obvious! 

The drunk Ukrainian fighter is practicing techniques from foreign instructors. 

Are you ready for the front line?",,,,,
4042,"**Денацификация, демилитаризация, денаркотизация населения идёт семимильными шагами по Украине.

**В Херсонской области вот у такого персонажа в огороде в ходе антинаркотического рейда обнаружены 10 культивируемых кустов запрещённой ""весёлой"" травки.

Товарища отпрофилактировали, коноплю уничтожили на месте, в чём неправ – доступно и популярно объяснили.

""Слава России, смерть наркомании!"".","**Denazification, demilitarization, and denarcotization of the population are progressing rapidly in Ukraine.

**In the Kherson region, during an anti-narcotics raid, 10 cultivated plants of prohibited ""jolly"" weed were found in the garden of one individual.

The individual was counseled, the cannabis plants were destroyed on the spot, and the reasoning was explained clearly and通俗易懂地.

""Glory to Russia, death to drug addiction!""",,,,,
4043,"**В Москве произошла перестрелка с участием южан

**34-летний Магомед Ибрагимов доставлен в больницу с огнестрельным ранением в голову. Нападавшие уже задержаны, ими оказали граждане Ингушетии — 29-летний Адам Магомедов и 44-летний Хамзат Мальсагов","A shootout involving southerners occurred in Moscow.

Magomed Ibrahimov, 34, was hospitalized with a gunshot wound to the head. The attackers have been apprehended; they are citizens of Ingushetia—29-year-old Adam Magomedov and 44-year-old Khambhat Malasgov.",,,,,
4044,Посмотрите на разницу как встречали Байдена и Трампа в Саудовской Аравии,Look at the difference in how Biden and Trump were received in Saudi Arabia.,,,,,
4045,"Бойцы 14-го ""батальона Призрак"" 4-й бригады ЛНР взяли в плен командира роты 108-го батальона 10-й горно-штурмовой бригады всу.","The soldiers of the 14th ""Ghost Battalion"" of the 4th Brigade of the LNR captured the commander of a company from the 108th Battalion of the 10th Mountain Assault Brigade of the Ukrainian Armed Forces.",,,,,
4046,"Новости из современного мира:

На фото **трансгендерный адмирал** США Рейчел Левин и **зампомощник министра ядерной энергетики** Сэм Бринтон в посольстве Франции на приёме в честь Дня взятия Бастилии","News from the Modern World:

In the photo, American transgender Admiral Rachel Levin and Deputy Assistant Secretary of Energy Sam Brinton attended a reception at the French Embassy to celebrate Bastille Day.",,,,,
4047,"Пленный британский наёмник выучил гимн РФ, он был приговорен к смертной казни.",A captured British mercenary learned the Russian national anthem; he was sentenced to death.,,,,,
4048,"Уникальное видео вчерашнего удара по объекту в Днепропетровске, на котором видно, как украинская ракета ПВО вылетела для перехвата нашей ракеты, но не успела.","Unique video footage of yesterday's strike on an object in Dnipro, showing an Ukrainian air defense rocket launching to intercept our rocket, but it was too late.",,,,,
4049,"🤬🇺🇦**Киевские тероборонцы избили парня за русский язык

**Сообщается, что парень говорил по телефону на русском, и это не понравилось укровоякам. Догнали, побили, начали тыкать оружием.","🤬🇺🇦 Kyiv defense activists beat a man for speaking Russian.

It is reported that the man was speaking on the phone in Russian, which did not sit well with the Ukrainian nationalists. They caught up to him, beat him, and started pointing weapons at him.",,,,,
4050,Взрыв в Краматорске сегодня утром,Explosion in Kramatorsk this morning,,,,,
4051,🇷🇺🇺🇦 Утром ВС РФ нанесли удар по одному из складов ВСУ в западных районах** **Одессы.,Russia's military struck one of the storage facilities of the Ukrainian military in the western areas** of Odessa in the early morning.,,,,,
4052,"❗️🇺🇦**Как умные украинцы защищают Киевский режим?

**Да никак! Они бегут в Румынию.
На видео один из способов.

Пользуйтесь, хлопчики!","❗️🇺🇦**How do smart Ukrainians protect the Kyiv regime?

**Not at all! They flee to Romania.
One method is shown in the video.

Use it, lads!",,,,,
4053,"Ликвидация украинской диверсионно-разведывательной группы, пытавшейся прорваться в Херсон для уничтожения членов администрации",The liquidation of the Ukrainian reconnaissance and sabotage group attempting to breach into Kherson to eliminate members of the administration.,,,,,
4054,"**Прибывшие из Британии украинские солдаты, обучавшиеся по натовским стандартам, демонстрируют полученные от британцев навыки ведения боя**","The Ukrainian soldiers who arrived from Britain, trained according to NATO standards, demonstrate the combat skills they received from the British.",,,,,
4055,"Соскучились по вечернему Арестовичу? Получайте!

На этот раз Алёша, которого некоторые украинские чиновники называют ""говорящей ж*пой"", решил поделиться тем, как ему каждый день тяжело демонстрировать ""мужество"" и пытаться вселять в сограждан ложные надежды, будто бы они ""всех победят"".

Возьмите его кто-нибудь на ручки!","Missed the evening Arrestovich? Here he comes!

This time Alyosha, whom some Ukrainian officials call ""a talking ass,"" decided to share how every day is tough for him pretending to be ""brave"" and trying to instill false hopes in fellow citizens that they will ""win everyone over.""

Take him by the shoulders, someone!",,,,,
4056,Днепр 🇺🇦 накрывают крылатыми ракетами,The Dnieper 🇺🇦 is being struck by cruise missiles.,,,,,
4057,"В Одессе🇺🇦 мужик при задержании предложил полицейским выебать его в жопу

**согласились или нет — неизвестно**","In Odessa, Ukraine, a man offered the police to fuck him in the ass during his arrest. Whether they agreed or not is unknown.",,,,,
4058,Космическая программа Казахстана - забродивший кумыс,The Kazakh space program - fermented mare's milk,,,,,
4059,🔥🇷🇺🇺🇦 Донбасс. Вечерний салют по позициям ВСУ.,🔥🇷🇺🇺🇦 Donbass. Evening salute targeting Ukrainian military positions.,,,,,
4060,"**Мгновенная карма диванному бойцу

**В Приморье задержали 54-летнего мужчину, который в «ВКонтакте» регулярно призывал к убийству Путина путём смертной казни через повешение. 

 При даче показаний мужчина принёс президенту извинения.","**Instant Karma for the Couch Warrior**

**In Primorye, police detained a 54-year-old man who regularly called for Putin's assassination via hanging on VKontakte.**

During his interrogation, the man apologized to the president.",,,,,
4061,Самая эффективная реклама в Одессе🇺🇦,The most effective advertising in Odessa🇺🇦,,,,,
4062,"В **Сочи** бородач избил парня **из-за его длинных волос.

**Дело было в Лазаревском. 21-летний преподаватель игры на гитаре приехал почиллить в курортный городок и в тот день совершал утреннюю **прогулку с девушкой**. В этот момент к ним подлетел некий гомофоб, который предъявил за внешний вид, после чего избил парня до закрытой **черепно-мозговой травмы и сотрясения**","In Sochi, a bearded man beat a guy because of his long hair.

The incident occurred in Lazarevsky. A 21-year-old guitar teacher came to the resort town for a break and was taking an early morning walk with a girl on that day. At that moment, a homophobic individual approached them, objected to their appearance, and beat the guy until he sustained a closed head injury and concussion.",,,,,
4063,"‼️🇷🇺🌪Боевая работа РСЗО «Ураган» по артиллерии украинских националистов, которая ранее наносила удары по населённым пунктам Донбасса","‼️🇷🇺🌪 Combat operation of the ""Uragan"" MLRS against Ukrainian nationalist artillery that previously targeted populated areas in Donbas.",,,,,
4064,"Укровояка обращается к сбежавшим от войны украинцам, чтобы они возвращались в страну и воевали. Правильно, пушечного мяса очень не хватает американцам и европейцам😎","The draft mobilizer addresses the Ukrainians who have fled the war, urging them to return to the country and fight. Correct, the Americans and Europeans are desperately short of cannon fodder 😎",,,,,
4065,"**Украинским чиновникам грозит штраф за использование русского языка. За выступления по-русски им придется выложить до 8,5 тысяч гривен и 12 тысяч за повторное нарушение

**Штрафные санкции для госслужащих вступят в силу с 16 июля и будут регулироваться специальной комиссией","Ukrainian officials face fines for using the Russian language. They will have to pay up to 8,500 hryvnias for speeches in Russian and 12,000 hryvnias for a repeat offense.

The fines will take effect on July 16 and will be regulated by a special commission.",,,,,
4066,"**Спор за арбуз дошёл до рукоприкладства

**В Башкирии мужчина хотел вернуть деньги за гнилой арбуз, а в итоге отхватил метлой.","**The dispute over the watermelon escalated to physical violence

**In Bashkortostan, a man wanted to get his money back for a spoiled watermelon, but ended up getting hit with a broom.",,,,,
4067,Очередной лепешечник в торговом центре,Another pancake at the shopping center,,,,,
4068,В сеть попали вчерашние кадры с камеры наблюдения в  Виннице,The network has posted footage from yesterday's surveillance camera in Vinnytsia.,,,,,
4069,"**Подробности от Минобороны РФ об ударе по Виннице:

**Удар был нанесен 14 июля высокоточными ракетами. В этот момент в гарнизонном доме офицеров проходило совещание.

На совещании присутствовали иностранные поставщики вооружений, они обсуждали передачу ВСУ очередной партии самолетов, средств поражения, а также организации ремонта украинского авиационного парка.

В результате удара участники совещания уничтожены.","**Details from the Russian Ministry of Defense regarding the strike on Vinnytsia:

The strike was carried out on July 14 using high-precision missiles. At that time, a meeting was taking place in the officers' club.

At the meeting, foreign arms suppliers were present, discussing the delivery of another batch of aircraft and munitions to the Ukrainian military, as well as organizing the repair of Ukraine's aviation fleet.

As a result of the strike, all participants in the meeting were eliminated.",,,,,
4070,"**🇬🇧👊🏻🇺🇦Замес в Лондоне: местные против укрорадикалов

**По сообщениям источника, украинские беженцы пристали к местному чернокожему, говоря что он «не человек».
Однако, в дело вмешались местные, которые не терпят подобных проявлений расизма","**🇬🇧👊🏻🇺🇦Mix in London: Locals Against Ukrainian Neo-Nazis

According to a source, Ukrainian refugees insulted a local black person, calling him ""not human.""
However, locals intervened, as they cannot tolerate such displays of racism.",,,,,
4071,Пиво на вечер отменяется,The beer for tonight is canceled.,,,,,
4072,"**Курение вредит здоровью

**Не зря эту простую истину пишут на табакосодержащих товарах.
Так и в Новосибирске мужчина решил доказать эту аксиому другому пассажиру общественного транспорта, который курил в салоне и не обращал внимания на замечания","**Smoking is harmful to health.

**This simple truth is why it's written on tobacco products. In Novosibirsk, a man decided to prove this axiom to another passenger who was smoking in the bus salon and ignoring warnings.",,,,,
4073,❗️🇷🇺🇺🇦  Из-под завалов в Виннице извлекли членов из так называемого «батальона имени шейха Мансура».,"❗️🇷🇺🇺🇦 From the rubble in Vinnytsia, members of the so-called ""Battalion Mansour"" have been pulled out.",,,,,
4074,"""Половил рыбку"". Утро в Николаеве","""Polevily fish."" Morning in Nikolayev",,,,,
4075,🔥🇷🇺🇺🇦 Ракетный удар по Национальному университету кораблестроения в Николаеве. В здании располагалась нацгвардия Украины.,🔥🇷🇺🇺🇦 Rocket strike on the National University of Sea Fisheries and Ocean Technology in Nikolayev. The building housed Ukrainian national guard forces.,,,,,
4076,"**Снова трэш-стримеры.

**Произошла классика: некий трэш-стример Николай Белов пригласил к себе в гости алкашей и обоссал в прямом эфире.","**Trash streamers at it again.

**Classics have occurred: the trash streamer Nikolai Belov invited some drunks over as guests and had an accident during a live stream.",,,,,
4077,🇷🇺🇺🇦 Мариуполь. Башня украинского Т-64 в жилом доме.,Mariupol. A Ukrainian T-64 tank in a residential building.,,,,,
4078,"Мужик явно не планировал сальто показывать, да и помирать тоже","The guy clearly wasn't planning to do a somersault, and he definitely wasn't planning to die either.",,,,,
4079,"На дальнем востоке под селом Сергеевка толпа спермобаков запиздила 13-летнюю школьницу.

Причины неизвестны, но чувствуем, что скоро они окажутся на её месте.","In the far east, near the village of Sergeyevka, a mob of sperm whales attacked a 13-year-old schoolgirl.

The reasons are unknown, but we can feel that they will soon be in her position. 

Note: The original text contains offensive and disturbing content. The translation maintains the literal meaning but should be handled with caution due to its sensitive nature.",,,,,
4080,"Укропчик жалуется, что уже семь часов идет обстрел их позиций👍",Cilantro complains that they have been under attack for seven hours already👍,,,,,
4081,Бидоныч в Израиле не смог изменить своим привычкам и в очередной поздоровался с призраком.,The bidonchik in Israel couldn't change his habits and greeted the ghost yet again.,,,,,
4082,"**Американские охранники избили чернокожего по ошибке**.

Толпа секьюрити накинулась на него по подозрению в краже, но, как оказалось, они его просто перепутали с другим вором в такой же футболке","**American security guards beat a black man by mistake.**

The crowd of security guards attacked him suspecting him of theft, but it turned out they had mistaken him for another thief wearing a similar shirt.",,,,,
4083,"🇷🇺🇺🇦 Армия ЛНР показала добытые в ходе освобождения республики трофеи.

На кадрах в том числе и американская гаубица М777.","The LNR army showed trophies acquired during the liberation of the republic, including an American M777 howitzer on video footage.",,,,,
4084,"ВСУ развлекаются на фронте, прыгая по противотанковым минам.",The Ukrainian military is having fun on the front by jumping on anti-tank mines.,,,,,
4085,"🤬 Кондитеры из украинской Винницы начали продавать торты с изображениями погибших солдат армии РФ.

Ваше мнение в комментариях👇🏼

[Гарри Пукич ⚡️](https://t.me/HarryPukich)","🤬 Bakers from Ukrainian Vinnytsia have started selling cakes with images of deceased Russian army soldiers.

Your opinion in the comments👇🏼

[Harry Pukich ⚡️](https://t.me/HarryPukich)",,,,,
4086,В одной из столовых армии США.,In one of the dining halls of the US Army.,,,,,
4087,"**В Иванове драчун получил перелом костей черепа

**Около одного из местных развлекательных заведений сцепились двое, в результате чего один ударил второго, который рухнул и ударился затылком об асфальт. 
Ударивший скрылся до приезда полиции","In Ivanovo, a brawler suffered a skull fracture.

Near one of the local entertainment venues, two people got into a fight. One hit the other, who fell and hit the back of his head on the asphalt. The attacker fled before the police arrived.",,,,,
4088,🤡🇺🇦Типичный потребитель ~~укровысера~~ информации из ~~укропомоек~~ украинских ресурсов,Clown 🇺🇦 Typical consumer of information from Ukrainian sources 🃏,,,,,
4089,"⚡️**Появились первые кадры с места удара ВСУ по автостанции Донецка.

**Предварительно сообщается о двух погибших и трёх раненых, в настоящий момент им оказывается медицинская помощь.","⚡️**Initial footage has emerged of the strike by Ukrainian military forces on Donetsk's bus station.

**It is preliminarily reported that two people have died and three are injured, and medical assistance is being provided to them at the moment.",,,,,
4090,"Всушник пришил шеврон с буквой Z. 

Штирлиц еще никогда не был так близок к провалу","The spy sewed a Z-shaped shoulder patch.  
Shchitrfic had never been so close to failure.",,,,,
4091,"Трехсотых укровоинов, целыми вагонами, везут по госпиталям.","Three hundred Ukrainian soldiers, in full gear, are being transported to hospitals by the hundreds.",,,,,
4092,"Автодятел из Аргентины умудрился отправить 23 человека в больницу, потому что не справился с управлением у входа в театр",An Argentine auto mechanic managed to hospitalize 23 people by losing control of his vehicle at the entrance to the theater.,,,,,
4093,"В Гомеле🇧🇾 пьянчужка подожгла себя после того, как ей **не дали опохмелиться**.

9 июля 48-летняя дама решила выпить, чтобы прийти в себя после веселой пятницы. Сожителю такая идея не понравилась, поэтому он запретил заливать в себя ещё больше спиртяги. В ответ мадам не придумала ничего лучше, чем **облить себя неизвестной «горючкой» и поджечь**. Фаер-шоу мужчина снял на видео. 

Пострадавшую отправили в больницу с ожогами 1-3 степени, но оттуда она сбежала. Видимо, за алкоголем","In Gomel 🇧🇾, a drunkard set herself on fire after being denied the chance to sober up.

On July 9th, a 48-year-old woman decided to drink to help her recover from a fun Friday night. Her partner did not approve of this idea and forbade her from drinking more alcohol. In response, the woman doused herself with an unknown flammable substance and set herself on fire. The man filmed the incident as a firework show. 

The injured woman was sent to the hospital with first to third-degree burns but managed to escape. It seems she fled to get more alcohol.",,,,,
